StartDateUTC,WindSpeed,WindDirection,SpeedOG,ObsWindSpeedTrue,ObsWindDirTrue,Heading
2024-04-06 06:00,2.77,233.37,0.09,,,0.0
2024-04-06 06:10,2.77,233.37,0.2,,,0.0
2024-04-06 06:20,2.77,233.37,0.25,,,90.0
2024-04-06 06:30,2.77,233.37,0.3,,,90.0
2024-04-06 06:40,2.77,233.37,0.3,,,0.0
2024-04-06 06:50,2.77,233.37,0.27,,,135.03
2024-04-06 07:00,2.77,233.37,0.08,,,0.0
2024-04-06 07:10,2.77,233.37,0.05,,,0.0
2024-04-06 07:20,2.77,233.37,0.2,,,180.0
2024-04-06 07:30,2.77,233.37,0.1,,,270.0
2024-04-06 07:40,2.77,233.37,0.08,,,0.0
2024-04-06 07:50,2.77,233.37,0.1,,,0.0
2024-04-06 08:00,2.91,261.51,0.05,,,0.0
2024-04-06 08:10,2.91,261.51,0.0,,,180.0
2024-04-06 08:20,2.91,261.51,0.1,,,0.0
2024-04-06 08:30,2.91,261.51,0.06,,,0.0
2024-04-06 08:40,2.91,261.51,0.05,,,0.0
2024-04-06 08:50,2.91,261.51,0.05,,,0.0
2024-04-06 09:00,2.91,261.51,0.0,,,0.0
2024-04-06 09:10,2.91,261.51,0.09,,,0.0
2024-04-06 09:20,2.91,261.51,0.0,,,0.0
2024-04-06 09:30,2.91,261.51,0.0,,,0.0
2024-04-06 09:40,2.91,261.51,0.0,,,0.0
2024-04-06 09:50,2.91,261.51,0.0,,,0.0
2024-04-06 10:00,3.01,298.7,0.0,,,0.0
2024-04-06 10:10,3.01,298.7,0.0,,,0.0
2024-04-06 10:20,3.01,298.7,0.0,,,0.0
2024-04-06 10:30,3.01,298.7,0.0,,,0.0
2024-04-06 10:40,3.01,298.7,0.0,,,0.0
2024-04-06 10:50,3.01,298.7,0.0,,,0.0
2024-04-06 11:00,3.01,298.7,0.0,,,0.0
2024-04-06 11:10,3.01,298.7,0.0,,,0.0
2024-04-06 11:20,3.01,298.7,0.0,,,0.0
2024-04-06 11:30,3.01,298.7,0.0,,,0.0
2024-04-06 11:40,3.01,298.7,0.0,,,0.0
2024-04-06 11:50,3.01,298.7,0.0,,,0.0
2024-04-06 12:00,2.76,303.58,0.0,,,0.0
2024-04-06 12:10,2.76,303.58,0.0,,,0.0
2024-04-06 12:20,2.76,303.58,0.06,,,0.0
2024-04-06 12:30,2.76,303.58,0.1,,,0.0
2024-04-06 12:40,2.76,303.58,0.1,,,0.0
2024-04-06 12:50,2.76,303.58,0.1,,,0.0
