sog,vessel_id,ship_heading,wind_speed,wind_direction,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel
14.94,1004,24.86,13.11298950517398,160.27304580488587,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.83,1004,25.89,13.11298950517398,160.27304580488587,11.52,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.79,1004,25.05,13.11298950517398,160.27304580488587,11.52,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.7,1004,24.67,13.11298950517398,160.27304580488587,11.52,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.7,1004,26.18,13.11298950517398,160.27304580488587,11.525,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.73,1004,27.72,13.11298950517398,160.27304580488587,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.7,1004,27.71,13.11298950517398,160.27304580488587,11.54,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.61,1004,28.27,13.11298950517398,160.27304580488587,11.535,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.59,1004,28.26,13.11298950517398,160.27304580488587,11.525,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.38,1004,23.41,13.11298950517398,160.27304580488587,11.525,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.37,1004,22,13.11298950517398,160.27304580488587,11.54,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
13.46,1004,16.67,12.923047183465767,146.84775184438013,11.53,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.1,1004,14.09,12.923047183465767,146.84775184438013,11.52,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
14.18,1004,17.75,12.923047183465767,146.84775184438013,11.525,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
