sog,ship_heading,wind_speed,wind_direction,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel,vessel_id,relative_wind_direction,wind_resistance
14.94,24.86,13.11298950517398,160.27304580488587,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,102.75064000158903,0.0
14.83,25.89,13.11298950517398,160.27304580488587,11.52,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,101.86821739007968,0.0
14.79,25.05,13.11298950517398,160.27304580488587,11.52,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,102.95864465081974,0.0
14.7,24.67,13.11298950517398,160.27304580488587,11.52,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,103.6625144636455,0.0
14.7,26.18,13.11298950517398,160.27304580488587,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,101.90232510150446,0.0
14.73,27.72,13.11298950517398,160.27304580488587,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,100.06225141829671,0.0
14.7,27.71,13.11298950517398,160.27304580488587,11.54,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,100.15729462672215,0.0
14.61,28.27,13.11298950517398,160.27304580488587,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,99.77766831921863,0.0
14.59,28.26,13.11298950517398,160.27304580488587,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,99.8443494154198,0.0
14.38,23.41,13.11298950517398,160.27304580488587,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,106.08268007558341,0.0
14.37,22.0,13.11298950517398,160.27304580488587,11.54,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,107.8318402814645,0.0
13.46,16.67,12.923047183465767,146.84775184438013,11.53,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,100.8645899899663,0.0
14.1,14.09,12.923047183465767,146.84775184438013,11.52,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,102.04570934407568,0.0
14.18,17.75,12.923047183465767,146.84775184438013,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,97.73851240898644,0.0
14.2,18.28,12.923047183465767,146.84775184438013,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,97.10912537429412,0.0
14.3,21.73,12.923047183465767,146.84775184438013,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,93.19283368634093,0.0
14.15,22.72,12.923047183465767,146.84775184438013,11.525,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,92.55691565653878,0.0
13.97,21.15,12.923047183465767,146.84775184438013,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,94.65336936115114,0.0
13.86,19.65,12.923047183465767,146.84775184438013,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,96.53398938757648,0.0
13.91,23.33,12.923047183465767,146.84775184438013,11.535,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,92.5417964362659,0.0
13.95,26.59,12.923047183465767,146.84775184438013,11.545,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,89.15261061393068,0.0
13.86,26.22,12.923047183465767,146.84775184438013,11.55,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,89.74198175285223,0.0
