Unnamed: 0,IMO,VesselId,VesselObjectId,StartDateUTC,EndDateUTC,LogDurationMinutes,PortCallId,NoonLogId,ME1RunningHoursMinute,ME2RunningHoursMinute,SpeedOG,SpeedTW,CorrectedSpeed,IdealSpeed,SpeedDrop,ApparentSlip,ME1EffectivePower,ME2EffectivePower,ME1IdealLightRunPower,ME2IdealLightRunPower,MEShaftPowerActual,MEDeliveredPowerActual,AddedPowerWeather,CorrectedPowerDelivered,PwrDlvOnSpeed,PwrDlvOnRPM,IdlPwrDlvOnSpeed,PwrDlvrDevOnSpeed,IdlPwrDlvOnRPM,PwrDlvrDevOnRPM,ME1ActualRPM,ME2ActualRPM,CorrectedRPM,ISOCorrectedRPM,IdealRPM,RPMDeviation,ISOCorrectedFOC,ISOIdealFOC,MEFOCDeviation,MEFOCIdealPD,MEFOCDeviationOnPD,MEFOCIdealPDCor,MEFOCDeviationOnPDCor,MEActualSFOC,ISOCorrectedSFOC,ISOIdealSFOC,ISOSFOCDeviation,ME1MCR,ME2MCR,AutoLogValidityIndex,IsSpeedDropValid,IsApparentSlipValid,IsDeltaFOCMEValid,IsDeltaPDOnSpeedValid,IsDeltaPDOnRPMValid,IsDeltaNpropValid,IsDeltaSFOCMEValid,AddedFOCEngine,AddedFOCSpeedDrop,AddedFOCRPM,AddedFOCRateEngine,AddedFOCRateSpeedDrop,AddedFOCRateRPM,AddedEnergy,AddedFOCHPRolling,AddedFOCMERolling,BFScale,NormPowerDesign,IdealPowerDesign,CreatedOn,WindSpeedUsed,MeanDraft,WindSpeed,WindDirection,Heading,AirTemperature,AirPressure
0,9967536,1021,1021,17-02-2025 14:00,17-02-2025 14:10,10,,,6.0000,,12.9400,12.9300,13.1100,15.1100,13.2000,12.0000,7329.0000,,,,7255.7100,7183.1500,653.1300,6530.0200,6530.0200,6530.0200,4209.0500,55.1000,5525.6200,18.2000,48.0000,,47.0000,47.0000,43.0000,9.2000,0.1200,0.0700,62.9000,0.1200,8.0000,0.1100,18.3000,177.5500,171.9400,160.0400,7.4000,28.2000,,87.5,1,1,1,1,1,1,1,0.0087,0.0382,0,2.0935,9.1793,0,232.0972,9.1793,2.0935,6,28380.6,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,87.32,7.25,1029.52
1,9967536,1021,1021,17-02-2025 14:10,17-02-2025 14:20,10,,,10.0000,,14.3300,14.2800,14.4900,17.7000,18.1000,12.2000,10666.3800,,,,10559.7200,10454.1200,-38.9300,10493.0500,10493.0500,10493.0500,5729.7700,83.1000,8070.3800,30.0000,53.0000,,54.0000,54.0000,48.0000,12.1000,0.3300,0.1600,97.9000,0.2900,10.9000,0.2900,10.5000,179.8200,174.1400,157.7100,10.4000,41.0000,,87.5,1,1,1,1,1,1,1,0.0292,0.1322,0,4.204,19.0301,0,793.8808,19.0301,4.204,6,33500.8,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,110.73,7.25,1029.52
2,9967536,1021,1021,17-02-2025 14:20,17-02-2025 14:30,10,,,6.0000,,15.9300,15.8500,16.0700,18.2500,11.9000,7.2000,10930.4000,,,,10821.1000,10712.8900,-750.2600,11463.1500,11463.1500,11463.1500,7867.3900,45.7000,9721.9900,17.9000,56.0000,,57.0000,57.0000,53.0000,7.4000,0.2000,0.1300,52.9000,0.1800,6.7000,0.1900,-0.1000,172.7900,167.3200,157.6100,6.2000,42.0000,,87.5,1,1,1,1,1,1,1,0.0106,0.0601,0,2.5485,14.4134,0,359.5758,14.4134,2.5485,6,26654.1,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,147.86,7.25,1029.52
3,9967536,1021,1021,17-02-2025 14:30,17-02-2025 14:40,10,,,8.0000,,16.1200,16.0400,16.2700,18.1200,10.2000,6.1000,10687.3600,,,,10580.4900,10474.6900,-751.4700,11226.1500,11226.1500,11226.1500,8158.7800,37.6000,9735.8400,15.3000,56.0000,,57.0000,57.0000,54.0000,6.2000,0.2700,0.1800,44.6000,0.2300,6.7000,0.2500,-0.3000,172.8900,167.4100,157.7100,6.2000,41.1000,,87.5,1,1,1,1,1,1,1,0.0138,0.0685,0,2.4893,12.3336,0,408.9831,12.3336,2.4893,6,25170.7,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,146.75,7.25,1029.52
4,9967536,1021,1021,17-02-2025 14:40,17-02-2025 14:50,10,,,7.0000,,16.1100,16.0200,16.2600,18.0900,10.2000,6.1000,10644.3300,,,,10537.8900,10432.5100,-753.7600,11186.2700,11186.2700,11186.2700,8140.3400,37.4000,9717.8200,15.1000,56.0000,,57.0000,57.0000,54.0000,6.2000,0.2300,0.1600,45.0000,0.2000,7.1000,0.2200,0.1000,173.6000,168.0800,157.7200,6.6000,40.9000,,87.5,1,1,1,1,1,1,1,0.0129,0.0596,0,2.6464,12.2597,0,355.3594,12.2597,2.6464,6,25138.1,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,150.25,7.25,1029.52
5,9967536,1021,1021,17-02-2025 14:50,17-02-2025 15:00,10,,,7.0000,,15.3500,15.3100,15.5300,18.0300,13.9000,10.6000,11353.2400,,,,11239.7100,11127.3100,59.5100,11067.8000,11067.8000,11067.8000,7078.6600,56.4000,9308.7000,18.9000,56.0000,,56.0000,56.0000,51.0000,9.7000,0.2300,0.1400,64.5000,0.2200,6.9000,0.2200,7.5000,173.0500,167.5500,157.4700,6.4000,43.6000,,87.5,1,1,1,1,1,1,1,0.0134,0.0776,0,2.7484,15.9638,0,465.3996,15.9638,2.7484,6,28602.3,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,108.42,7.25,1029.52
6,9967536,1021,1021,17-02-2025 15:00,17-02-2025 15:10,10,,,8.0000,,15.7800,15.7200,15.9400,18.0500,11.7000,8.0000,10935.7900,,,,10826.4300,10718.1700,-396.8900,11115.0600,11115.0600,11115.0600,7673.1500,44.9000,9514.3000,16.8000,56.0000,,57.0000,57.0000,53.0000,7.5000,0.2700,0.1700,52.6000,0.2400,7.0000,0.2500,3.3000,173.2900,167.7900,157.6100,6.5000,42.0000,,87.5,1,1,1,1,1,1,1,0.0148,0.0767,0,2.6715,13.8117,0,458.9205,13.8117,2.6715,6,26498.9,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,124.01,7.25,1029.52
7,9967536,1021,1021,17-02-2025 15:10,17-02-2025 15:20,10,,,8.0000,,16.0800,15.9900,16.2200,18.3900,11.8000,6.3000,11241.6100,,,,11129.1900,11017.9000,-703.3300,11721.2200,11721.2200,11721.2200,8086.9300,44.9000,9680.3200,21.1000,56.0000,,57.0000,57.0000,54.0000,6.3000,0.2800,0.1800,53.0000,0.2500,7.3000,0.2600,1.0000,173.6600,168.1600,157.5000,6.8000,43.2000,,87.5,1,1,1,1,1,1,1,0.016,0.0811,0,2.8751,14.6024,0,484.5731,14.6024,2.8751,6,26514.3,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,165.83,7.25,1029.52
8,9967536,1021,1021,17-02-2025 15:20,17-02-2025 15:30,10,,,7.0000,,16.0300,15.9400,16.1700,18.1900,11.1000,6.7000,10682.1200,,,,10575.3000,10469.5500,-885.0700,11354.6200,11354.6200,11354.6200,8011.9000,41.7000,9826.2300,15.6000,56.0000,,57.0000,57.0000,53.0000,7.1000,0.2400,0.1600,49.0000,0.2100,6.9000,0.2200,-1.2000,173.2600,167.7900,157.7100,6.4000,41.1000,,87.5,1,1,1,1,1,1,1,0.0126,0.0652,0,2.5856,13.4118,0,389.9837,13.4118,2.5856,6,25925.5,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,178.41,7.25,1029.52
9,9967536,1021,1021,17-02-2025 15:30,17-02-2025 15:40,10,,,7.0000,,15.9200,15.8300,16.0600,18.0900,11.2000,7.2000,10644.3300,,,,10537.8900,10432.5100,-737.3800,11169.8900,11169.8900,11169.8900,7843.6700,42.4000,9715.3000,15.0000,56.0000,,57.0000,57.0000,53.0000,7.5000,0.2300,0.1600,50.0000,0.2000,7.1000,0.2200,0.2000,173.5800,168.0900,157.7200,6.6000,40.9000,,87.5,1,1,1,1,1,1,1,0.0129,0.0649,0,2.6479,13.3479,0,388.0595,13.3479,2.6479,6,26050.7,18293.2,26-05-2025 15:47,12.53,11.20,12.53,346.98,164.02,7.25,1029.52
